en,score,hospital,sen
antenatal care hospital a. doctor nurse kind,5,ramathibodi-hospital,1
grandma ER Dec good doctor inject color patient 80 -PRON- want patient treat medication sterilization medical student patient heal -PRON- -PRON- require treatment,1,ramathibodi-hospital,0
good service,4,ramathibodi-hospital,1
management system treat patient wait long like old day doctor brilliantly,5,ramathibodi-hospital,1
year ago use mA eye eye Department medicine ramathibodi hospital service doctor nurse -PRON- consider average good bad service financial staff eye Department rude reason ..... time close noon staff close channel -PRON- know afternoon hurry -PRON- ask authority queue need wait afternoon mA dinner staff inform press ..... -PRON- hold file document leave -PRON- sit wait -PRON- wait long time authority -PRON- close channel -PRON- ask q. queue ..... -PRON- sit wait ARMA people -PRON- page know queue -PRON- press q -PRON- file card press q view filing document leave -PRON- patient .................... -PRON- look a. day find end trash emphasize trash model building -PRON- head hot service terrible think pedal hospital reputation good doctor service official bad manner,1,ramathibodi-hospital,0
long wait doctor nursing care patient,5,ramathibodi-hospital,1
doctor -PRON- maintain good friendly time maintain -PRON- stress,5,ramathibodi-hospital,1
day -PRON- aunt disease discomfort heavy ambulance pick house -PRON- arrive woven nurse help care doctor sick body 50 50 -PRON- aunt chronic disease respirator doctor patient survive -PRON- know percent survival patient doctor nurse care -PRON- aunt symptom -PRON- aunt better better home,5,ramathibodi-hospital,1
service slow lot people little doctor,4,ramathibodi-hospital,1
use clinical service premium somdech Phra debaratana medical center good service staff smile convenient fast queue long time wait doctor wait hour doctor minute pay convenient fast result check quick great little car park beautiful location bank 11 food centre price expensive table available matter time -PRON- phufa shop Starbucks .... help wait boring doctor examination attention explain clearly fee bit expensive consider fair,4,ramathibodi-hospital,1
care state elevate modern service great appication check appointment hospital good,5,ramathibodi-hospital,1
clean doctor nurse friendly great service modern tool,5,ramathibodi-hospital,1
nursing care attentive patient government hospital,5,ramathibodi-hospital,1
beam sound long close admission -PRON- donor Foundation ramathibodi long -PRON- father admit emergency room care append room staff especially nurse -PRON- face speak bad final hospital,2,ramathibodi-hospital,0
Ramathibodi hospital hospital personnel quality tool -PRON- fully equip modern create peace mind reassurance customer,5,ramathibodi-hospital,1
officer patient care good old find seat stay nurse speak listen doctor friendly patient hold,5,ramathibodi-hospital,1
care father good father cancer admit month -PRON- father ready home stay icu nursing care forget hospital government service private,5,ramathibodi-hospital,1
hospital state doctor master system appointment doctor arrive telephone consult health hotline good consult Department maintain nurse talk Professor doctor time illness come emergency Department patient quickly emergency room clean doctor people diagnose team doctor,5,ramathibodi-hospital,1
good state service attentive nurse kind medical student practice lot secretly talk play group time check -PRON- history somewhat detail good care clean modern restaurant city excellent good,5,ramathibodi-hospital,1
staff smiling friendly information detail easy understand,5,ramathibodi-hospital,1
Doctor nurse care good car parking clean people,5,ramathibodi-hospital,1
service good clean doctor ask hotel Duluth day ask symptom doctor nurse kinder patient,5,ramathibodi-hospital,1
good service,5,ramathibodi-hospital,1
patient lot service news delay remote system teaching teacher doctor advise good include exercise eating self care patient reduce use drug self care,4,ramathibodi-hospital,1
day a.m. noon treatment,1,ramathibodi-hospital,0
Doctor good detailed instruction clear good surgery modern clean surgical wound heal quickly postoperative pain medication fit procedure check pay complicated private little need multiple item patient -PRON- step little bit doctor detail attention patient,5,ramathibodi-hospital,1
nurse service great doctor polite hospital cleanliness staff doctor accessibility concern patient dispense good -PRON- wait long queue hospital wide sit wait patient family -PRON- come doctor lot tool doctor modern patient room wide cold winter special room divide room luxury like condo night view pretty like siriraj market walk wait patient tool doctor modern patient room wide cold winter special room divide room luxury like condo night view pretty like siriraj market walk patient,5,siriraj-hospital,1
seek advice wound keloid carpool humerus'd like discuss remove surgically injection wait demand state doctor consultation good reassure -PRON- decide wound injection use duration injection time reduce size surgical wound -PRON- cause ulcer keloid interested wound keno Lloyd Siriraj hospital good option,5,siriraj-hospital,1
hospital good treat tumor uterus nurse empathy patient location bed room include like special room live close nurse time nurse ask symptom hour toilet bed food -PRON- care -PRON- like relative bath towel applaud nurse people disappoint admit hospital impressed -PRON- want maintain siriraj thank -PRON-,5,siriraj-hospital,1
... Siriraj hospital doctor nurse cute advice Jean documentary ball examination appointment doctor description procedure fuss room drug separate staff room medicine description medicine travel time hospital Will far tired ease time doctor explain treatment good worry disease,5,siriraj-hospital,1
"grandma cancer treatment good service fast friendly cute old doctor 
 tell breast cancer longer need sleep stick bed cry pain tell grandma chemo care doctor prescribed medication grandma past year Nagoya strong walk eat normally today doctor good service hospital",5,siriraj-hospital,1
"-PRON- clinic time obstetric gynecology procedure card online -PRON- building OPD layer -PRON- HN appointment clinic time report HN specify date time physician officer appointment information easy difficult 
 match day come half hour -1 hour patient lot wait hour 
 Impressed doctor nurse agent business new obstetric gynecology time great service",5,siriraj-hospital,1
unit psychiatry provide care patient trouble emotional psychological atmosphere Department relatively comfortable medical staff friendly service fast private hospital -PRON- slow hurry q doctor morning appointment q patient services medicine separate outpatient Department 16.00 hr medicine room medicine floor lot patient special appointment come time instead -PRON- check fee counseling simple value doctor new patient exclude medication 30 minute 600 ฿ 300 ฿ -PRON- find doctor 30 minute time price kind doctor permission usually pay servant gold card social security people medical school doctor rotate forever -PRON- Professor doctor doctor circulation medical student doctor study professional psychiatrist normal likely address mid patient -PRON- forward Institute Belle test like iq test counseling psychotherapy group clinical psychologist,5,siriraj-hospital,1
maintain good fast medical student come join diagnosis wrist fall play basketball fall treatment bend treatment remove weight weigh elbow -PRON- stretch hold joint place injection anti inflammatory enter albino month come Taro Shin air symptom doctor symptom improve change Taro soft,5,siriraj-hospital,1
service good man official -PRON- work fully symptom countenance upset -PRON- bring friend check -PRON- find building patient officer -PRON- -PRON- reach -PRON- need queue long time lot people staff service good facility -PRON- available patient overall -PRON- pleasant thank -PRON- .... great,5,siriraj-hospital,1
-PRON- maintain time depression nursing cute smile -PRON- expressive irritate annoyed patient expressive loud control -PRON- feel -PRON- person alienation friend talk similar wait doctor kind pharmacy -PRON- lovely -PRON- choose treat -PRON- love siriraj,5,siriraj-hospital,1
great service feel safe walk hospital doctor nurse Excel ability -PRON- feel safe comfortable heart find qualified personnel tremendous impression return siriraj hospital thank -PRON- care thank -PRON- sir chance pass use service star,5,siriraj-hospital,1
-PRON- bear hospital initially mother tell -PRON- doctor nurse research good material good choose card rich -PRON- love present -PRON- treat -PRON- healthy personally Ukraine rich poor equal citizen live hand mouth like -PRON- doctor good girlfriend Toey June car crash treatment siriraj symptom private forward siriraj ask -PRON- -PRON- 50 50 30 70 -PRON- cry crazy ... Siriraj -PRON- return fan normal thank,5,siriraj-hospital,1
"impressed sir -PRON- suffer thalassemia birth receive blood hospital siriraj -PRON- treatment transplant spinal cord knot disappear symptom disease thalassemia disease cure hospital -PRON- live normal life like people 
 -PRON- need blood test time doctor appointment dna value body need eye examination examination -PRON- check siriraj hospital",5,siriraj-hospital,1
doctor include nurse aide personnel hospital care good sir use word vividly polite friendly patient symptom pant rush hospital doctor rush symptom use nebulizer spray comfortable breathe better nebulizer -PRON- care distance lose good doctor pay medicine relax home feel okay hospital,5,siriraj-hospital,1
"-PRON- -PRON- sick need treatment siriraj hospital year come hospital notice personnel high quality excellent level impressed security guard staff patient nurse doctor impress today accidentally write thread cheer work siriraj hospital 

 security guard 
 -PRON- note -PRON- check building walk building security good time cross street pedestrian big car wheelchair big cart cross immediately wave car Park 

 staff transport patient 
 unit grateful yesterday freshly -PRON- wheelchair rain fall -PRON- personally building Siam cafeteria -PRON- provide mom stroller -PRON- employee -PRON- hurry ask -PRON- push -PRON- cafeteria -PRON- water rain -PRON- -PRON- -PRON- send right -PRON- walk use cane walk open -PRON- mouth ... leg -PRON- step water run guilty mind sneaker sunk mid -PRON- stinky day long -PRON- beg hand thank -PRON- staff hand helpful fine shoe -PRON- wet appreciate -PRON-",5,siriraj-hospital,1
"doctor siriraj hospital Department psychiatry clinical specialty time doctor good good kind 
 nurse lovely ask reply thorough crank Halloween 
 Location good convenient ... organize systematic regulation appointment doctor ... time shot special clinic time doctor expensive medication treatment price medicine doctor pay overall good",5,siriraj-hospital,1
hospital siriraj hospital good country squat good love hospital -PRON- use service time nurse speak familiarly understand patient wait long time hospital good -PRON- use sleep hospital late cold .... abroad fever heavy admit Jean tre cost expensive better private,5,siriraj-hospital,1
"treat doctor scalp hospital Dept dermatology 4th floor building patient good treatment minimal impact treat hospital concerned effect 

 recommend time weekday bill special clinic private clinic maintain great 

 queue siriraj't wait long -PRON- day time appointment new patient recommend 
 waste time day card patient layer remember building complete appointment queue 
 accord cue strike 
 examination complete -PRON- shot time",5,siriraj-hospital,1
service good initially hear rumor wait long system wait long -PRON- clinic time ^^ matter treatment ok -PRON- know -PRON- intend order start new check report symptom doctor like immediately wait blood result confirm,5,siriraj-hospital,1
hospital good good service doctor good day -PRON- morning good service book sensitive hospital -PRON- feel safe come treat find doctor doctor kind consultation -PRON- detail good important treatment skilled -PRON- doctor good service dispense -PRON- wait long hospital wide pitching special room accommodate lot patient,5,siriraj-hospital,1
come doctor psychiatrist impressive view speak doctor grateful nurse -PRON- find dare scared paranoid read review scared psychiatrist fear insult fear fear people foot doctor polite enjoin -PRON- cure thank encouragement good -PRON- doctor siriraj hospital hospital puzzle trip building hospital Siriraj manage system building walk find place waste time,5,siriraj-hospital,1
Siriraj hospital large hospital early level country patient maintain lot diagnosis precise treatment capacity pool doctor kind patient day lot positioning system wonderful cause confusion patient convenient quick process card pende queue -PRON- meet doctor patient card online appointment clinic special online impressed,5,siriraj-hospital,1
doctor access fever surgical good body pull blood need round need Professor surgery survive neck reach today neck fasten neck stiffness swallow big tablet nurse Department neck lovely habit plan radiation doctor good consultation good ok bad straight neck year ago neck bad,1,siriraj-hospital,0
doctor consult follow symptom treatment doctor knee pain doctor consult follow symptom treatment doctor knee pain doctor consult follow symptom treatment doctor knee pain doctor consult follow symptom treatment doctor knee pain,5,siriraj-hospital,1
"symptom finger toe tea time year treat medical Khaleej mass revival Jean better intermittent thought -PRON- pelvic bone neck degeneration -PRON- cause tea doctor ... science right try find doctor neuro check 
 Dr. neuro detect application nerve sound little eat vitamin nourish solve tea",4,siriraj-hospital,1
surgery meat tell brain year 2546 doctor -PRON- walk come current 15 year -PRON- uncle -PRON- medical degree siriraj hospital doctor surgery -PRON- -PRON- uncle -PRON- -PRON- frustrated treatment time -PRON- family -PRON- lot eye civil servant pensioner Granny maid,1,siriraj-hospital,0
hospital big equipment travel easy doctor nurse attentive patient care good,5,siriraj-hospital,1
ask book web q way friendly fear waste time,5,siriraj-hospital,1
-PRON- hiccup non stop half hour night wake flip -PRON- cause hiccup cough violent coughing vomit symptom month cure,4,siriraj-hospital,1
talk normal symptom suddenly abdominal pain Chi ... stomach -PRON- start freeze swelling ride pain round round,5,siriraj-hospital,1
doctor suck diagnosis examination symptom patient,1,siriraj-hospital,0
doctor lovely friendly nurse kind -PRON- default queue doctor long -PRON- provide walk access thank,5,siriraj-hospital,1
service treatment room patient location wrong state hospital berate patient want Sam phran car ride doctor siriraj waste money -PRON- -PRON- ... Siriraj hospital service patient great,5,siriraj-hospital,1
-PRON- doctor psychiatrist -PRON- disease Garrett type severe require medication therapy -PRON- doctor hospital better adjust dose lot doctor -PRON- feel -PRON- normal doctor ask symptom medication use -PRON- analyze symptom medication use adjust dose new adjust dose unpleasant -PRON- -PRON- think -PRON- come place doctor hope -PRON- -PRON- heal -PRON- feel -PRON- course doctor humorous understand teenager -PRON- think teen want find doctor psychiatrist meet -PRON- view -PRON- time -PRON- treat -PRON- -PRON- analysis problem symptom rat precise,5,siriraj-hospital,1
impress treatment care patient siriraj team doctor nurse professional cute cherub -PRON- daughter attention thank -PRON- heart -PRON- forget -PRON-,5,siriraj-hospital,1
treatment doctor recommend like know story officer charge provide good service hotel clear stage fret care patient respectively sick reply ask good people -PRON- lot people understand -PRON- lot like -PRON- private rarely care -PRON- like cheer officer fight,5,siriraj-hospital,1
official include nurse doctor service good symptom irritability facial expression poor patient maintain good help patient help -PRON- excellent person birth siriraj hospital,5,siriraj-hospital,1
Shine try colonoscopy doctor view internal image ในำ patties .. impress impressed doctor explain detail clear wound doctor repair,5,siriraj-hospital,1
doctor -PRON- able find cause illness -PRON- father treatment,5,siriraj-hospital,1
Nurse generous,4,siriraj-hospital,1
gland lymph inflammation Allergy treatment siriraj hospital -PRON- doctor care patient detect cause thoroughly lymph node neck check lighten shot week track symptom medication consecutive symptom better,5,siriraj-hospital,1
staff answer question patient,5,siriraj-hospital,1
nurse good care speech racist,5,siriraj-hospital,1
doctor good attention detail treatment clinic special work nearby private,5,siriraj-hospital,1
-PRON- start treatment hospital successive year disease viral hepatitis x hepatitis b treatment -PRON- cumbersome spend lot time -PRON- new patient appointment time -PRON- far clinic time appointment routine check convenient come office hour treatment symptom year value virus value hepatitis reduce -PRON- cirrhosis life treatment care -PRON- underestimate risk doctor care good stay persistent file view meat liver February year 2516 -PRON- find lump meat liver MRI doctor diagnose cancer -PRON- ask doctor -PRON- cancer -PRON- die doctor treatment know soon cut doctor care liver send -PRON- surgeon strike surgeon diagnosis describe maintain hair thoroughly forward doctor radiation begin step chemo lump inhibit grow -PRON- doctor radiation view MRI -PRON- interest meat loaf -PRON- look like cancer cell cut meat loaf check rule yes แต่ำ non cancer cause meat liver bile duct cancer liver doctor later radiation appointment -PRON- filling vein liver right meat loaf case -PRON- atrophy nourish hair protein liver grow lump meat case ready surgery month doctor surgery check size liver -PRON- -PRON- grow fairly doctor -PRON- surgery surgery surgery like happen doctor cut liver -PRON- 60 accord word doctor -PRON- symptom live follow symptom periodically month find cancer spread lymph node abdoman monitor surgeon tell -PRON- need chemo send doctor chemistry yum Bud doctor chemotherapy explain process treatment method stage -PRON- maintain catastrophic symptom calm cancer cell invader grow -PRON- chemo continuous time consecutive week week week total time equal needle doctor week equal needle -PRON- help heavy -PRON- -PRON- force time fortunately -PRON- allergic reaction vomiting -PRON- eat bit tipsy overall okay discourage believe medical treatment advice nurse empathy good time come hospital ask answer question -PRON- ask result blood value liver value cancer value kidney value blood different nurse explain -PRON- -PRON- -PRON- want view physical condition thank doctor nurse -PRON- confident treatment discourage,5,siriraj-hospital,1
maternity doctor -PRON- nurse care good,4,siriraj-hospital,1
doctor hormone normal idea siriraj wait long time use privilege gold card -PRON- turn hospital develop system good wait hour find doctor medicine thirty minute examination complete doctor brilliantly advice nurse staff provide service help systematic way good value idea maintain gold card wait day find service bad siriraj contemporary refute belief old,5,siriraj-hospital,1
hospital patient treat patient optimally patient nurse doctor -PRON- neglect patient treat standard check resolution provide pass point pay attention detail faith doctor nurse staff hospital,5,siriraj-hospital,1
authority social security service good cute kind pretty nurse kind air cold think hotel 555 personally -PRON- like service staff siriraj hospital pende examination pende blood result summary inflammatory bowel sleep half day home,5,siriraj-hospital,1
mom need check doctor -PRON- -PRON- link information need hospital accord appointment time,2,siriraj-hospital,0
-PRON- meet doctor gynecology Department hospital Siriraj check follow follow subject endometrial growth fault -PRON- Professor doctor doctor female cute -PRON- smile friendly history -PRON- tenderness sick tell -PRON- -PRON- disease cure suggest need practice master -PRON- explain thoroughly -PRON- -PRON- feel safe warm heart importantly -PRON- teach medical student use case -PRON- explain medical student listen -PRON- good merciful patient student experience like people trust regular gynecological examination demand access mind patient deeply impressed,5,siriraj-hospital,1
clean good service,4,siriraj-hospital,1
normal write review real event self selection siriraj hospital cause -PRON- change new life -PRON- a. -PRON- acne clinic loud use cream -PRON- treat -PRON- cream exhaust -PRON- acne recommend maintain siriraj hospital Department dermatology time -PRON- scare ล้าๆๆ meet doctor doctor recommend good -PRON- treatment accord doctor time page better people skill -PRON- lose doctor,5,siriraj-hospital,1
clinic special hospital siriraj good service organize separate screening patient prioritize meet doctor -PRON- fast patient long wait residue,5,siriraj-hospital,1
good,4,siriraj-hospital,1
service excellent hold -PRON- benefit patient care,5,siriraj-hospital,1
acne treatment siriraj hospital impressed doctor advice dispense moderation buy medication accord doctor order downside strike require month advance come nurse rarely recommend wait long time spite time,4,siriraj-hospital,1
like 28/12/59 check appointment clinic speculum think imagine -PRON- hair loss wing check clinic skin better -PRON- register queue 60 cue doctor -PRON- let check -PRON- treatment nurse inform p.m. grade pm -PRON- final result nurse doctor sit wait,5,siriraj-hospital,1
diagnosis -PRON- disease doctor understand doctor patient sick cancer stage lot cause bore talk disease patient ethic doctor -PRON- stop treatment tell treatment lose consider treatment voice snap bother patient tell good -PRON- news relative patient know -PRON- hopeless meet doctor patient stay connected despair -PRON- doctor mercy improve use debate speech patient,1,siriraj-hospital,0
hospital government provide great service nurse beaming morning find doctor wait doctor,5,siriraj-hospital,1
life precious time wait time ... stuff -PRON- wait time doctor nurse paramount importance hospital big countless look busy -PRON- help -PRON- -PRON- burden party delay,5,siriraj-hospital,1
doctor consultation skin good easy understand official -PRON- welcome good good,4,siriraj-hospital,1
nursing care birth tell recommend good especially help breastfeeding nurse available guide teach thing mother -PRON- helpless thank nurse care -PRON-,4,siriraj-hospital,1
-PRON- treatment donate blood nurse staff lovely ... -PRON- donate blood finish pretend faint -PRON- pretend friend Elevator officer run room donate blood come impressed,4,siriraj-hospital,1
service slow long queue transparent plug time ค่อนวัน separate update Gan service,2,siriraj-hospital,0
doctor understand way disease pay pill disease pill day symptom,4,siriraj-hospital,1
-PRON- miscarriage siriraj hospital think government hospital service fast good like -PRON- K. emergency gestational age 25week+5 check water คล่ำ vaginal discharge lot hospital file card water คล่ำ flow -PRON- shocked room officer stand tell -PRON- water คล่ำ flow authority hurry find trolley ride come history -PRON- room wait birth check yes water คล่ำ true doctor perform examination history conclude คล่ำ need sleep wait time maternity quick professional attentive patient hospital private -PRON- feel impressed,5,siriraj-hospital,1
doctor nurse personnel work professional know cope crisis include personal problem patient relative patient,5,siriraj-hospital,1
time doctor symptom menstruation normal -PRON- consult people close doctor siriraj glass want hospital state wait long time day parking convenient card patient -PRON- -PRON- appear -PRON- think yeah -PRON- apply card patient register website hospital number HN -PRON- ask queue doctor -PRON- friend recommend clinic time waste expensive little longer soon -PRON- appointment doctor system -PRON- good nurse appointment notification queue -PRON- tell -PRON- come early half hour match -PRON- find nurse screening unit point scale measure pressure long sit wait queue -PRON- find doctor time(maybe pre treatment question resolution thorough check important -PRON- doctor explain patient ask hurry check finish doctor ultrasound internal examination cervical cancer read result ultrasound doctor question history -PRON- result come -PRON- find ovarian cyst doctor recommend step send matter Board doctor -PRON- consider case -PRON- deserve need surgery -PRON- doctor Board ultrasound surgery remove ovary cause sex hormone doctor want sure decision surgery good way patient -PRON- need blood test check readiness body surgery order secure patient book room -PRON- cumbersome nurse appointment queue doctor available perform surgery patient able book special room specify price room size style room clearly include price food nurse -PRON- prepare -PRON- day come surgery diet surgery service siriraj good impressive nurse polite manner account safety great procedure service quick bill expensive compare private hospital summary impress siriraj,5,siriraj-hospital,1
end year -PRON- girlfriend birth siriraj hospital newborn baby fussing wake -PRON- nurse away nursery room time reluctant include care great,5,siriraj-hospital,1
lot people wait long time car Park nurse ignore patient doctor age experience professor doctor advise,4,siriraj-hospital,1
doctor nurse delivery room care good,5,siriraj-hospital,1
find doctor clinic time accord appointment measure pressure cue card waiting room doctor glitch know queue number report sort number cue card,4,siriraj-hospital,1
doctor nurse smart experienced knowledge quiz calmly speak lot patient,5,siriraj-hospital,1
-PRON- -PRON- aunt sick shingle doctor Allergy treat queue day -PRON- accord instruction authority clinic time think wait patient appointment finish check turn -PRON- card tell -PRON- sit 20 minute check waste time queue long time department wait patient appointment complete -PRON- understand,5,siriraj-hospital,1
organize rarely busy -PRON- -PRON- smooth clean,5,siriraj-hospital,1
change service service faster original -PRON- section booking payment dispense yes time wait long time doctor treat regularly provide information answer question good,4,siriraj-hospital,1
People use service lot service good,5,siriraj-hospital,1
treatment Department psychiatry overall system earlier confusing siriraj adjust orderly easy understand lot technology improve fix tight escalator break hospital service similar private subject option access(although section view serve different standard understand -PRON- consider cost living quality life Thai people unit psychiatry service great staff doctor nurse friendly use gesture body language countenance recipient feel uncomfortable drug problem occur send tobacco forget send leave service official rude overall need rate little big problem alternative health country -PRON- perceive problem state management state hospital siriraj carry hospital,4,siriraj-hospital,1
building Somdet Phra si 10/1 good service common room doctor come o'clock morning time case -PRON- problem complication pregnancy doctor specialist disease follow symptom joint planning meet wonderful,5,siriraj-hospital,1
Doctor specialized nurse help,5,siriraj-hospital,1
Nurse caring polite doctor -PRON- recommend care -PRON- thoroughly,5,siriraj-hospital,1
yesterday health check hospital siriraj hospital thing impressed doctor speak recommend good include hotel address time ask bathroom ask thing -PRON- answer great service good,4,siriraj-hospital,1
initially floor busy pass screening separate layer -PRON- fast escalator allow convenient,4,siriraj-hospital,1
hospital siriraj -PRON- analyze cause disease people case sure great sure -PRON- endoscopy case find exactly,5,siriraj-hospital,1
impression treat ultra modern machine help -PRON- recover illness,4,siriraj-hospital,1
service quick step service clear,4,siriraj-hospital,1
management system good medical expert Professor level doctor patient,4,siriraj-hospital,1
patient wait little bit longer treatment standard,4,siriraj-hospital,1
trust trust trust,4,siriraj-hospital,1
treat feel good siriraj hospital wait long time -PRON- okay questioning treatment medicine bothered -PRON- eat come state hospital people use service staff personnel -PRON- service,5,siriraj-hospital,1
-PRON- child doctor Nov siriraj month rayon need kid vaccination fit -PRON- project teen mom project good ray precious travel vaccine -PRON- injection free nurse project Manager -PRON- service great eloquence nursing student shift good boy -PRON- birth -PRON- brother invite project overall service good especially project ..,4,siriraj-hospital,1
chance patient siriraj hospital -PRON- know government hospital support patient lot patient case sudden note doctor nurse hospital state work hard time private real building medical equipment adequate treat patient bad donate Foundation accord help thank -PRON- doctor nurse include staff hospital care stay treat sick hospital,5,siriraj-hospital,1
medical expert easy maintain good,5,siriraj-hospital,1
-PRON- knee doctor nurse pretty understand old care friendly doctor nurse routine building lottery stamp,4,siriraj-hospital,1
doctor nurse work good -PRON- check eye birth age 20 sick wait check lot doctor patient 100 people doctor nurse -PRON- beam patient description clarify thing sick listen -PRON- feel person act tired -PRON- serve,5,siriraj-hospital,1
doctor accidentally serve -PRON- patient day doctor hospital patient lot morning doctor brilliantly diagnose disease apartment provide selfie,5,siriraj-hospital,1
maintain good care emergency Department fine space treatment area crowded,5,siriraj-hospital,1
doctor good doctor room doctor carpool rarely,5,siriraj-hospital,1
t age regular month 20 day -PRON- come doctor nurse way build binary medical -PRON- sit wait check modern hospital state care patient good sit wait long time -PRON- understandable day patient alot province thank -PRON- doctor nurse care good debt experience -PRON-,5,siriraj-hospital,1
Service general good -PRON- doctor treat care good use service lot slow extent general overall,4,siriraj-hospital,1
detect acting infect HVP mouth uterus doctor scholar -PRON- treatment time time Pap Smear gynecologist find cervical infection abnormal doctor thorough check find lesion pre cancerous cin doctor appointment month shot check find infection spread doctor appointment endoscopic cervical biopsy wait result week effect find lesion pre cancerous abnormality level cin3 shock scared -PRON- find information prepare understand reduce fear doctor scholar good doctor afraid know result doctor match treatment use cutting method cervix cone leep treatment bleed surgery week later treat doctor appointment check result find usual child,5,siriraj-hospital,1
use clinic service time yeah care good customer irritability especially nurse doctor,4,siriraj-hospital,1
doctor care thorough find doubt send -PRON- specialized,5,siriraj-hospital,1
admission appointment nurse smile welcome weigh measuring pressure finish -PRON- inform wait queue -PRON- add notification periodically treatment explain step care -PRON- doctor recommend provide opportunity ask question clearly,5,siriraj-hospital,1
medical treatment good long queue -PRON- offer good impression doctor brilliantly,5,siriraj-hospital,1
impressed welcome good advice doctor nice,5,siriraj-hospital,1
loved cure diabetes brain vessel stenosis siriraj hospital build 72-year old doctor nurse thank -PRON- help care -PRON- -PRON- sick find cause today -PRON- bring -PRON- love home good health nearly percent -PRON- promise care health life -PRON- run earth care child thank -PRON- siriraj hospital doctor nurse staff care day,5,siriraj-hospital,1
doctor calmly young nurse -PRON- cute,5,siriraj-hospital,1
Son treat Allergy doctor -PRON- history brother birth late view treatment Department brother advice encouragement view money .. accord right bad,5,siriraj-hospital,1
patient nurse staff heavy -PRON- sweetheart enlighten help doctor detect detailed despite patient,5,siriraj-hospital,1
doctor reliable,4,siriraj-hospital,1
service great -PRON- Bumpkin staff conducive run good,5,siriraj-hospital,1
doctor cute nurse caring try find cause -PRON- find moral patient care,5,siriraj-hospital,1
initial visit ER -PRON- mother fall high fever stay bed chalermprakiat building floor ordinary bed relative keeper -PRON- nurse I. nursing care good impressed service,5,siriraj-hospital,1
-PRON- cancer treatment heal live like normal person doctor wally,5,siriraj-hospital,1
service available,4,siriraj-hospital,1
confine space compare number people use service personnel service people lot day time doctor nurse officer speak patient good irritated overall cute,4,siriraj-hospital,1
subject matter fever detain pay food 14 day inform food rice shift hard boil egg day bubble time kitchen -PRON- Drama tell quit Department nutrition eat t tell slang disease -PRON- interested -PRON- -PRON- want eat food slang disease pay extra day nearly 500 pay 14 day job earn money pay pay half thousand steam rice boil egg cost sympathy 14 day know live money pay food 14 day,5,king-chulalongkorn-memorial-hospital,1
service good doctor nurse kind friendly cute doctor professional good diagnostic result precise mentor recommend guideline initial treatment I. follow instruction -PRON- medication couple doctor inform cure medicine eat suppress symptom think expensive expensive thought impress travel -PRON- convenient drive -PRON- parking worth treatment,4,king-chulalongkorn-memorial-hospital,1
check blood urine need book queue long time book service good doctor condition impressed term service cute nurse advise doctor specialist good consultation tell worry travel hospital convenient ride train subway car drive -PRON- parking,4,king-chulalongkorn-memorial-hospital,1
"service good long waiting queue bit diagnostic result precise illness hospital CHULA -PRON- lose time price expensive suitable child provincial come live Bangkok lot -PRON- worried expensive 
 food distributor -PRON- health volume number calorie tell taste good spicy air cold 55555555555",5,king-chulalongkorn-memorial-hospital,1
food poisoning treat hospital doctor nurse good care recommend initial treatment hair follow instruction doctor bump pill couple doctor inform -PRON- day symptom food poisoning -PRON- disappear entirely thank way hospital care like,5,king-chulalongkorn-memorial-hospital,1
good service level .. ray time impress time check talk doctor know symptom disease -PRON- usually symptom gastritis think self gastritis check -PRON- doctor know disease -PRON- gut doctor good treatment symptom,5,king-chulalongkorn-memorial-hospital,1
king Chulalongkorn memorial hospital service good leave pregnant birth include contraception impress start leave pregnant staff member care mother staff medical student include cute kind cute second Deposit ask hospital maintain good image forever patient thank -PRON-,5,king-chulalongkorn-memorial-hospital,1
check -PRON- doctor แนำ. diagnostic good health necessary careful disease unconsciously recommend เพืื check hospital .. like friend okay good service system want review patient service decision treatment health care condition -PRON-,5,king-chulalongkorn-memorial-hospital,1
check good doctor definition nursing good patient care good close home easy easy convenient medication long wait doctor tell detail -PRON- like -PRON- want check year head toe inside -PRON- fine -PRON- want try use service king Chulalongkorn memorial hospital benefit great recommend,4,king-chulalongkorn-memorial-hospital,1
good ... ray time impress time check talk doctor know symptom disease -PRON- usually symptom gastritis think self gastritis check -PRON- doctor know disease -PRON- gut doctor good treatment symptom,4,king-chulalongkorn-memorial-hospital,1
opportunity doctor Chulalongkorn hospital doctor brilliantly experience wonder doctor exhaust good service attentive patient reduce stress panic long queue likewise wait awhile heavy emergency ok desire information,4,king-chulalongkorn-memorial-hospital,1
embed birth control pill hospital conveniently locate near BTS MRT service quick friendly person age 20 year bury free pay examination fee 300 baht student province -PRON- embed -PRON- consult social worker Department .. gynecological yeah card queue early morning long time,5,king-chulalongkorn-memorial-hospital,1
"hospital impress staff medical record nurse doctor good care friendly service generous guidance impressed 
 area place clean livable lol -PRON- husband good injection time rarely feel pain medicine lot pharmacy -PRON- recommend eat correct medication little crowded excellent service nurse scold -PRON- -PRON- job -PRON- understand ha ha ha",5,king-chulalongkorn-memorial-hospital,1
fit mother annual health check check Department blood x ray queue shortly authority work systematically travel hospital -PRON- easy conveniently locate near Skytrain subway Sala Daeng BTS station -PRON- connect come building ... private troublesome little bit traffic jam section service staff doctor polite friendly courteous staff staff registration room good natured irritability upset impressed,4,king-chulalongkorn-memorial-hospital,1
