comment,score,hospital,en
พยาบาลแผนก หู คอ จมูก คนที่น่ากลมๆซีดๆตาโตหน่อย อยู่ห้องนัดผ่ากะข้างหน้าประตู พูดจาแย่มากๆ บริการก็แย่ เรานั่งรอคิวสังเกตดู พูดจากับคนไข้ที่รอแย่มากๆ คือเรา ไม่รุ้ว่าต้องไปจ่ายเงินตั้งไหน เราก่เอาใบไปวางไว้ใส่ตะกร้าตรงพยาบาล(คนนั้น )เรารอนาน เราเลยถาม ขอโทษนะค่ะ พอดีเอาใบจ่ายเงินไว้ค่ะ ไม่ทราบว่าจ่ายตรงไหนค่ะ พยาบาล ตอบกลับมาว่า เอามาวางไว้ทำไมตรงนี้ ตรงนี้ไม่ใช่ที่วาง ที่จ่ายตังอยู่ข้างนอก เราก็งงสิ ถามดีๆ ตอบกวน....มาก บริการแย่ พูดจาก่ห่วยแตก ทุกอย่างดีหมด ยกเลิก นางคนนี้,3,ramathibodi-hospital,"Nursing Department, ear, nose and throat people at the round pale eyes. are the room shots. shift next door, bad advice, service was bad, we sit and wait for the queue, see speaking with a patient wait worse is that we don't know need to pay the location where we previously took leaves to put the cart straight, a nurse(that )we wait a long time, we now ask sorry fit took paid leaves. do not know how to pay?. the nurse replied put why here, here, not the place that pay outside, we were puzzled. asked the great reply, stirring.... Very terrible service, spoke before suck everything good out, cancel Mrs. this"
แต่มีติดใจนิดหนึ่งแม่ค้าโรงอาหารทำไมดุจัง เราจะซื้อข้าวแดกนะไม่ได้ขอ ดุจังๆๆๆๆๆ,4,ramathibodi-hospital,"But have attracted little vendors in the cafeteria, why so harsh! we will buy rice eat. not. material. งๆๆๆๆๆ"
ตรวจสุขภาพไปต่างประเทศเอธิโอเปียไม่ค่ะแล้วกีวันรู้ผลราคาเท่าไร,3,ramathibodi-hospital,"Health screening abroad in Ethiopia no., then sports day know effect price much."
วันนี้มาหาหมอ พบหมอ2คนค่ะ แต่โซนbวันนี้พยาบาลที่นั่งเคาน์เตอร์ข้างหน้าคือเราเอาแฟ้มไปวาง แค่ถามใบสั่งยาเพราะหาไม่เจอพอเข้าไปถาม พยาบาลก็หยิบให้ เพราะหมอแนบมาด้านหลัง ยื่นใบสังยาให้เรา แล้วเหวี่ยงแฟ้มใส่ตระกร้า คืออะไร ไม่มีมารยาทเลย บริการแย่มากขอบอกเลย คือคิดถ้าเปนลุงป้าแก่ๆ ถ้าอีนี่เหวี่ยงแฟ้มคนไข้ใส่ตระกร้าแบบนี้ คือมึงไม่น่ามาเปนพยาบาลเลยจริงๆ (คนที่นั่งหน้าเคาเตอร์ตัวอ้วนๆผิวคลำ ปากจัดหน่อย),2,ramathibodi-hospital,"Today come to the doctor, find a doctor 2 Yes, but zone b today nurse counter seat forward, is we took a file to drop just out a prescription, because can't find enough into asking nurse was picked because the doctor attached the rear submit. the medicine let us, then swung the file cart is nothing, no courtesy, service, terrible, say, is think if Spain, uncle, aunt, mom, if this crank patient file cart this is, I shouldn't have come as a nurse. (the person sitting at counter body fat skin palpation carping.)"
เหลืออีกสองวันจะออกจาก รพ รามาแล้ว ประทับใจมากๆตั้งแต่วันแรกที่แอดมิดเข้ามา ตั้งแต่14ธค58 ผมอยุ่แผนกตา สามัญชายคือพยาบาลทุกคนพูดดีมากๆ เป็นกันเอง ไม่ทำให้คนไข้เครียด คุณหมอก็ขึ้นตรวจทุกเช้า ซักประวัติจนละเอียด แล้วรักษาได้ดีมากๆ ขอบคุณคุณหมอและพี่ๆพยาบาลทุกคนที่ทำให้ผมกลับมามองเห็นได้อีกครั้งนึง ขอบคุณสำหรับทุกสิ่งทุกอย่างคับ 16วัน รพ.รามา เป็นอะไรที่ยากจะลืมจิงๆ #ประทับใจมาก,5,ramathibodi-hospital,"The remaining two days will leave.... really impressed from the first day that Admiral Schmidt came from 14 Dec 58, I'm the eye Department, the ordinary man is nursing all speak very good friendly not make patients stress doctor it up, check every morning, wash the records until resolution, and then maintain it very well thank you, doctor, sisters and I all the nurses that made me come back visible again. thanks for everything tight 16 days. Is something that's hard to forget someone #very impressed."
ดีครับ ดีมากๆ ดีสุดดดดดดด,5,ramathibodi-hospital,"Good, good, good, and two"
เป่นร.พรักษาตัวอยู่ปัจจุบันนี้ให้บริการดีเหมื่อนกันนะ,5,ramathibodi-hospital,Pei equivalent. . Treat is currently serving good too.
เป็นโรงพยาบาลที่ทันสมัย มากขอบคุณอาจารย์หมอ ธาริน ธรรมหงสา ที่ผ่าตัดนิ่วใหถุงน้ำดีสำเร็จลุล่วงไปด้วยดี ขอบคุณพยาบาลและเจ้าหน้าที่ในตึกอุบัติเหตุให้การดูแลเอาใจใส่คนไข้เป็นอย่างดี,5,ramathibodi-hospital,"The hospital is very modern thanks to Professor Dr. Tarin justified. a. the surgical gallstones, the gallbladder successful. thanks to the nurses and staff in the building, accident to care for the patient as well."
ผมได้พักรักษาตัวโรคตาประมาณเดือนเศษเมื่อหลายปีมาแล้วได้รับการผ่าตัดดวงตา5 ครั้งได้รับการเอาใจใส่จากคณะแพทย์และคณะพยาบาลเป็นอย่างดี ขอขอบคุณจากใจครับ,5,ramathibodi-hospital,"I be convenient to treat the eye disease for about a month, when many years ago get eye surgery 5 times, was attentive from the faculty of medicine and faculty of nursing as well thank you from the heart."
ปรับปรุงเรื่องการพูดจาด้วยนะ. แย่มากก พยาบาลหญิง. พูดจาหมาไม่แดก.,1,ramathibodi-hospital,Updated story from with. Terrible. a female nurse. Chucky: not very nice.
บริการดีมาก มาจากต่างจังหวัดรู้สึกหายเหนื่อย,5,ramathibodi-hospital,"Very good service from the country, feeling lost, tired,"
หน่วยงานอื่นก็ดีนะครับเพราะต้องติดต่อหลายส่วนแต่ที่ต้องจอแนะนะคือหน่วยงานที่ตรวจเต้านม รับการรักษาคลีนิกนอกเวลามาวางบัตรสิบโมงเจ้าหน้าที่บอกมาได้15.00น. รีบมาตั้งแต่บ่ายสองมาถึงเจ้าหน้าที่บอกรอเรียกบ่ายสามเลยไปหาไรกินก่อนบ่ายสาม15นาทีก็มานั่งคอยเรียกตามที่เจ้าหน้าที่บอกเห็นว่ายังไม่ถึงเวลาเลยนั่งคอยจนสามครึ่ง็ยังไม่เรียกทนไม่ไหวเดินไปถามเจ้าหน้าที่บอกเรียกแล้วเอกสารอยู่ตรงหน้าบ่ายสามทำไมไม่เรียกซ้ำคนที่ยึดถือเวลาก็มีนะครับ,3,ramathibodi-hospital,"Agency else pleasant. because of the need to contact several parts, but the need to monitor recommended is the Agency mammography treatment clinic, part-time and drop a card ten o'clock, authorities say. 15. 00. Hurry, since the afternoon, the two arrived the officer told the on-call three in the afternoon. to eat before three in the afternoon 15 minutes came the waiting call by officials tell see that time has not been reached yet. waiting until three and a half Ngoc has not called can't take a walk to ask the officials say call, then the document in front of three in the afternoon why not call the person to repeat upheld the time it has."
ฉันชอบโรงพยาบาลแต่ไม่ชอบการให้บริการในการเรียกตรวจเพราะไม่เป็นไปตามคิวที่ระบุในใบนัด,5,ramathibodi-hospital,"I like the hospital, but did not like the service call check, because not according to the queue specified in the appointment"
รักษาที่นี่มานับ 30 กว่าปี คนเยอะมาก ทบุคลากรทุกส่วนเหนื่อยน่าดู,4,ramathibodi-hospital,"Treatment, here a count of 30 over the years, a lot of people. personnel, all parts exhausting."
จำต้องทนเพื่อผลของการรักษาไม่รุ้อีกนานเท่ารั่ยที่ต้องยุ่กับ ร.พ. รามาธิบดี,3,ramathibodi-hospital,Have resistant to the effect of the treatment does not know another as long as the forum to mess with. .. Ramathibodi
รักษาเรืองสมองใหม่คับ. หลานผมเลือดครั่งนิดหน่อย/,5,ramathibodi-hospital,Treatment glowing new brain tight. My nephew's blood shellac a little./
บริการดี รวดเร็ว ไม่เสียเวลารอนาน,5,ramathibodi-hospital,"Good service, fast, not wait long."
นัดบ่ายโมงบ่าย2ยังไม่ได้เข้าเลย แผนกทันตกรรมตึกเก่า,1,ramathibodi-hospital,Strikes noon afternoon 2 hasn't..... dental Department old building
วันนี้มารามาเห็นการรักษาความปลอดภัยสุดยอดมาก,5,ramathibodi-hospital,Today we came to see the security amazing.
ฝากชีวิตไว้ที่นี่ค่ะ,5,ramathibodi-hospital,Deposited life here.
ฉันรักที่นี่ กราบขอบพระคุณคณะแพทย์และพยาบาลทุกท่านที่ได้ช่วยเหลือและดูแลชีวิตคนในครอบครัวดิฉันเป็นอย่างดี แต่มาเสียความรุ้สึกกับแพทย์หญิงปารวี พูดกับคนไข้และพยาบาลแย่มากๆ เสียดายที่มีไอคิวสูง แต่อีคิวต่ำมากๆ,4,ramathibodi-hospital,"I love it here, respectfully, thank you for the doctors and nurses all help and take care of life, people in my family as well, but lose the feeling with the doctor female. V talk to the patient and the nurse really bad. too bad a high IQ, but EQ is low."
มาตรวจที่แผนกเวชศาสตร์ครอบครัววันที่ 25 ธันวาคม 2558 ให้บริการและแนะนำผู้ป่วยดีมาก มีตรวจตอนเที่ยงด้วย,5,ramathibodi-hospital,"Check the Department of family medicine, December 25, 2558 services, and recommended patient very good there at noon, with"
โรงพยาบาลรัฐบาลที่ดีที่สุดในประเทศไทย ยืนยันโดย Ward จิตเวช ครับ,5,ramathibodi-hospital,Government hospital the best in Thailand confirmed by the Ward of psychiatry.
ฝากหน่อยคะสำหรับใครที่ต้องการอุปกรณ์ทางการแพทย์ทางเรามีขายราคาถูกมีบริการส่งถึงบ้าน ของแท้มีประกันไม่ดีมีเปลี่ยนให้จากบริษัท ทักได้คะหรือ ID: pinpmm27,5,ramathibodi-hospital,"Leave me for anyone who need medical equipment we have for sale cheap with send home the genuine insurance bad, there is a change from the company of their interest. or ID: pinpmm27"
ดีครับรพ.ต่างจังหวัดแย่มากๆลูกสาวป่วยแต่อายุ9ขวบตอนนี้22แล้วไปกลับทุกๆ3เดือน,5,ramathibodi-hospital,"Well.... Provincial awful sick daughter, but the age of 9 years old, now 22, then go back every 3 months"
พยาบาลและหมอทุกคนเอาใจใส่ดีมาก สถานที่สะอาด สะดวก เรียบร้อย,5,ramathibodi-hospital,"The nurses and doctor, everyone theres a very good place, clean, neat"
คิวช้า หมอนัด 15.30 แต่ได้ตรวจ 16.30 ทั้งๆที่ไปรอตั้งแต่ 14.00,3,ramathibodi-hospital,"Queue slow, doctor's appointments, 15.30, but has detected 16.30, in spite of to wait from 14.00"
ปกติแล้วเป็นคนที่กลัวการผ่าตัดมากๆ คิดไปต่างๆนานา แต่เมื่อถึงเวลาที่เราต้องเข้าห้องผ่าเจ้าหน้าที่มารับมาพูดคุยพาไปห้องผ่าตัด พูดคุยถึงการรักษาถามคนไข้กลัวไหม ไม่ต้องกลัวนะคะ พูดให้กำลังใจ จับมืออยู่ข้างกาย รอบให้รับรู้ตลอดเวลาจองการผ่าตัด ถึงขั้นตอนไหนๆ แล้ว ประทับใจการบริการโรงพยาบาลของรัฐค่ะ,5,ramathibodi-hospital,"Normally is afraid of surgery, think of many things, but by that time, we have to enter the room through the authorities come and get talk get to surgery. discuss treatment ask the patient afraid? don't be afraid. speak encouraging hand side, round to perceive all the time, book a surgery procedure since then impressed the hospital service of the state."
ฝากครรภ์ที่ รพ.รามาฯ   แพทย์และพยาบาล พูดเพราะ และใจดีมากค่ะ,5,ramathibodi-hospital,"Antenatal care at the hospital. A. doctors and nurses say, because and very kind."
พาย่าไปรักษาที่ ER รพ.รามาธบดีค่ะ แพทย์จะฉีดสี แต่คนไข้ 80 แล้ว เราเลยไม่อยากให้ทำ แต่คนไข้ยังคงต้องรับการรักษาโดยให้ยาฆ่าเชื้ออยู่ นักศึกษาแพทย์พูดว่าในเมื่อคนไข้ไม่รักษาเราก็ไม่จำเป็นต้องรักษา,1,ramathibodi-hospital,"Take grandma to the ER. A Dec the good doctor will inject color but the patient 80, and we don't want to do, but the patient must still be treated by medication, sterilization is medical students say in when patients do not heal us, it does not require treatment."
บริการดี,4,ramathibodi-hospital,Good service
มีการจัดการระบบในการรักษาคนไข้ดี  รอไม่ค่อยนานเหมือนสมัยก่อนแล้ว หมอก็เก่งคะ,5,ramathibodi-hospital,"There are management system to treat patients well, wait not really long, just like the old days and then the doctor brilliantly."
เมื่อหลายปีก่อนเคยพา อาม่า ไปทำการรักษาดวงตา ที่แผนกตา ของโรงพยาบาลรามาธิบดี การบริการของแพทย์และพยาบาล ก็ถือว่าปานกลาง ไม่ได้ดีหรือไม่ดีอย่างไร แต่บริการของพนักงานการเงินที่แผนกตา มารยาททรามมากถึงมากที่สุด เหตุคือ.....ช่วงนั้นใกล้เที่ยง และเจ้าหน้าที่จะทำการปิดช่อง ซึ่งเราก็ไม่ได้ว่าอะไร รอช่วงบ่ายได้ ไม่รีบร้อน แต่เราได้ถามเจ้าหน้าที่คนนั้นก่อนแล้ว ว่ารอคิวได้มั้ย หรือต้องรอช่วงบ่าย จะได้พาอาม่าไปทานข้าวก่อน เจ้าหน้าที่ก็แจ้งว่า กดคิวเลย เราก็กด แล้วก็ยื่นเอกสารใบยา แล้วเค้าก็ให้มานั่งรอ เราก็รอตั้งนาน จนเจ้าหน้าที่เค้าปิดช่อง เราเลยลุกไปถามว่า อ้าว เมื่อไรจะเรียกคิวคะ เพราะไม่มีคิวอะไรเลย มีเรานั่งรอกับอาม่าอยู่ 2 คน เค้าก็ทำหน้าไม่รู้เรื่อง บอกว่า ไม่มีคิวนะ คุณยังไม่ได้กดคิว เราก็ยื่นบัตรกดคิวให้ดู แล้วบอกว่า ยื่นเอกสารใบยาให้คุณแล้วด้วย ชื่อคนไข้....................เค้าก็หาๆ แบบคุ้ยๆ เขี่ยๆ เลยอะ หาอยู่ยังงั้น จนไปจบที่ ถังขยะค่ะ เน้นย้ำว่า ถังขยะ แบบยับๆ ด้วยนะ เรานี่ หัวร้อนเลยค่ะ การบริการแย่มาก นับแต่นั้น ไม่เคยคิดเหยียบโรงพยาบาลนี้อีกเลย ต่อให้ชื่อเสียงของหมอดียังไงก็เถอะ การบริการของเจ้าหน้าที่แย่มาก มารยาททรามได้อีก,1,ramathibodi-hospital,"Several years ago, used to take mA to the eyes, eye Department of medicine, ramathibodi hospital, service of doctor and nurse, it is considered average, not good or bad, but the service of the financial staff at the eye Department, that's rude. most reason is..... During that time close to noon, and staff will close the channel, which we don't know what's the afternoon, not in a hurry, but we have asked the authorities that before that queues? or need to wait for the afternoon will take mA to dinner before the staff was informed that the press..... we were holding then filed a document leaves, then he was to sit and wait, we wait a long time until the authorities he closed the channel, we now get to ask, well, when will call q. because there is no queue, nothing..... we sit and wait with ARMA 2, people do it all the page don't know about saying that no queue. you also do not press the q we just filed the card, press q to view and then said that filing of documents leaves you then with the patient's name.................... He was looking a. day few. what find is that, until the end at the trash. emphasized that trash. model. building. we here head hot. the service was terrible. since then, never thought of the pedal, this hospital again. even if the reputation of a good doctor, anyway, services of officials, bad manners again."
ไม่รอนาน คุณหมอ พยาบาลใส่ใจ ผู้ป่วย,5,ramathibodi-hospital,"No long wait, doctor, nursing cares, patient"
หมอทุกท่านรักษาดีมาก มีความเป็นกันเอง เวลาไปรักษาทีไรไม่เครียดเลย,5,ramathibodi-hospital,Doctor you maintain a very good friendly time to maintain and I don't stress yet.
วันนั้นป้าของฉันโรคไม่สบายหนักมาก เรียกรถพยาบาลมารับที่บ้าน พอมาถึงคุณหทอพยาบาลก็ช่วยกันดูแลเป็นอย่างดี หมอบอกอาการหนักมากร่างกาย 50 50 เพราะป้าของฉันมีโรคประจำตัวเยอะ ต้องใส่เครื่องช่วยหายใจ จนหมอต้องพูดว่าคนไข้อาจไม่รอด แต่ก็ทำให้รู้ว่า ถึงเปอร์เซ็นการรอดคนไข้จะน้อย แต่คุณหมอและพยาบาลก็ดูแลป้าของฉันเป็นอย่างดี อาการป้าของฉันดีขึ้นเรื่อยๆ จนตอนนี้กลับบ้านได้แล้ว,5,ramathibodi-hospital,"That day my aunt disease, discomfort, very heavy, call an ambulance pick up at the house when we arrived. woven nurse's help to take care of as well, the doctor said, very sick body 50 50, because my aunt has a chronic disease much to put on a respirator until the doctors have to say, the patient may not survive, but it make know to percent survival of patients is less, but the doctor and nurse took care of my aunt as well the symptoms my aunt better and better, until now, go home."
บริการช้า คนเยอะ หมอน้อย,4,ramathibodi-hospital,"Service slow, lots of people, little doctor"
เข้าไปใช้บริการคลินิกพรีเมียม ศูนย์การแพทย์สมเด็จพระเทพรัตน์ฯ บริการดี เจ้าหน้าที่ยิ้มแย้ม ทุกอย่างสะดวกรวดเร็ว คิวน้อย จะมีนานก็ตอนรอพบแพทย์ รอสองชั่วโมงเพื่อพบแพทย์สามนาที การจ่ายเงินสะดวกรวดเร็ว ผลตรวจออกรวดเร็วดี ที่จอดรถน้อย สถานที่สวยงามมีทั้งธนาคาร 7-11 ศูนย์อาหารที่ราคาไม่แพงเลยแทบไม่เคยมีโต๊ะว่างไม่ว่าเวลาไหน มีร้านภูฟ้า สตาร์บัค ฯลฯ ช่วยให้การรอไม่น่าเบื่อเกินไป คุณหมอตรวจด้วยความใส่ใจอธิบายชัดเจน ค่าบริการแพงไปนิดแต่โดยรวมๆถือว่าพอรับได้,4,ramathibodi-hospital,"Into use clinical services premium somdech Phra debaratana medical center. good service, staff smiling all convenient, fast queue, the less there will be a long time when waiting for the doctor, wait two hours to see a doctor three minutes to pay convenient, fast results, check out quick, great little car Parking beautiful location with all banks, 7-11 food centre, the price is not expensive. almost never have a table available no matter what time you have phufa shop, Starbucks.... help the wait not too boring doctor examination with attention to explaining clearly fee a bit expensive. but the same is considered fair enough."
เป็นสถานพยาบาลของรัฐที่ยกระดับการให้บริการที่ทันสมัย และดี appicationในการตรวจสอบนัดกับทางโรงพยาบาลเป็นอะไรที่ดีมาก,5,ramathibodi-hospital,Is the care of the state that elevates the modern services and great appication to check the appointment with the hospital is? very good
สะอาด แพทย์และพยาบาลทุกคน เป็นกันเอง บริการดีเยี่ยม เครื่องมือทันสมัย,5,ramathibodi-hospital,"Clean, doctors and nurses all friendly, great service modern tools"
พยาบาลดูเเลเอาใจใส่คนไข้ ทั้งที่เป็นโรงพยาบาลรัฐบาล,5,ramathibodi-hospital,"Nursing care attentive patient, either a government hospital"
ด้วยขื่อเสียงที่มีมายาวนาน และมีคนใกล้ชิดเข้ารับการรักษา และดิฉันก็เป็นหนึ่งในผู้บริจาคให้มูลนิธิรามาธิบดีมาอย่างยาวนาน แต่พอคุณพ่อเข้ารับการรักษาในห้องอุบัติเหตุและฉุกเฉิน ไม่ได้รับการดูแลอย่างที่ควร ผนวกกับไม่มีห้อง เจ้าหน้าที่ โดยเฉพาะพยาบาลและเจ้ากน้าที่พูดจาไม่ดีเลย สุดท้ายต้องย้ายโรงพยาบาลค่ะ,2,ramathibodi-hospital,"With the beam sound with a long and close admission and I was one of the donors to the Foundation, ramathibodi long, but when my father admitted in the emergency room not caring in the least that should append with no room staff, especially nurse and you face that, speaking from a bad final to move the hospital."
โรงพยาบาลรามาธิบดี.เป็นโรงพยาบาบที่ดีมีบุคลากรคุณภาพมากมาย. เครื่องมือก็ครบครันและทันสมัย สร้างความอุ่นใจเเละมั่นใจให้แก่ผู้ใช้บริการเป็นอย่างมาก,5,ramathibodi-hospital,Ramathibodi hospital. Is the hospital the personnel quality. Tool it is fully-equipped and modern creates peace of mind and reassurance to customers is very
เจ้าหน้าที่ดูแลผู้ป่วยดี คนแก่หาที่นั่งให้พัก พยาบาลส่วนใหญ่พูดจาไพเราะน่าฟัง คุณหมอให้ความเป็นกันเองกับคนไข้ ไม่ถือตัวน่ารักค่ะ,5,ramathibodi-hospital,"Officer patient care good old, find a seat to stay mostly nurses speak listen to the doctor, and friendly with patients not hold."
ดูแลคุณพ่อดีมาก คุณพ่อเป็นมะเร็ง admit มา 2 เดือน ตอนนี้คุณพ่อพร้อมจะกลับบ้านได้แล้ว จากต้องอยู่ห้อง icu พยาบาลดูแลเอาใจใส่ดี ลืมไปเลยว่าเป็นโรงพยาบาลรัฐบาล บริการเช่นเอกชน,5,ramathibodi-hospital,"Take care father, the good father is a cancer admit 2 months now, my father is ready to go home. to stay in the icu nursing care, well forget that as a hospital, government services such as private"
"เป็น รพ.รัฐ ที่ได้พบแพทย์ ระดับอาจารย์ทุกครั้ง, ระบบการนัดหมอทำได้สะดวก ทางโทรศัพท์ หรือการปรึกษาปัญหาสุขภาพทางสายด่วนให้คำแนะนำอย่างดี, โทรมาปรึกษาแผนกที่รักษาพยาบาลให้คุยกับอาจารย์หมอได้เลย, ทุกครั้งที่มีการเจ็บป่วยมาที่แผนกฉุกเฉิน มีการรับคนไข้อย่างรวดเร็ว ห้องฉุกเฉินสะอาด หมอมีหลายคน วินิจฉัยโรคโดยทีมของหมอ",5,ramathibodi-hospital,"Is the hospital. The state has the doctor, master, every, system appointment the doctor arriving by telephone, or to consult a health hotline, good, call, consult the Department maintains a nurse to talk to the Professor, doctor, every time there is an illness coming to the emergency Department have to get the patient quickly to the emergency room, clean, doctor, there are many people diagnosed by the team of the doctor"
ประทับใจค่ะ เป็นรพรัฐ ที่มีการบริการเอาใจใส่ดีมากกว่าที่อื่นๆ พยาบาลใจดีมากๆค่ะ ถึงแม้จะมีนักศึกษาแพทย์ที่มาฝึกเยอะ แอบมีคุยเล่นกันเป็นกลุ่มบ้าง แต่ในเวลาตรวจก็ซักประวัติค่อนข้างระเอียดดีค่ะ สถานพยาบาลสะอาดทันสมัย มีร้านอาหารต่างๆภายในรพ อยู่ใจกลางเมืองด้วย ครบครันดีค่ะ,5,ramathibodi-hospital,"Good is the state at the service attentive, better than other nurses very kind. although there are medical students that practice a lot secretly talk play together as a group, but in time, check it's history somewhat in detail. good, care, clean, modern restaurant within a city with excellent good."
เจ้าหน้าที่ให้บริการด้วยยิ้มแย้มและเป็นกันเอง ให้ข้อมูลที่ละเอียดและเข้าใจง่าย,5,ramathibodi-hospital,Staffed with smiling and friendly information detailed and easy to understand
หมอพยาบาลดูแลดีมากๆๆๆสะอาดคน,5,ramathibodi-hospital,"Doctor nurse care, good car Parking, clean people"
การบริการดี รพ สะอาดหมอสอบถามตลอดคอยดุแลตลอดคอยถามอาการหมอพยาบาลเป้นมิตรกับคนไข้มากครับ,5,ramathibodi-hospital,"Service good, clean doctor ask at the hotel Duluth, and throughout the day ask symptoms doctor nurse kinder to the patient very much."
บริการดีมาก,5,ramathibodi-hospital,Very good service
คนไข้ค่อนข้างเยอะทำให้การได้รับการบริการค่อนข่างล่าช้าไปบ้าง อาจเป็นจากเป๋นระบบการเรียนการสอน อาจารย์ แพทย์ให้คำแนะนำดีมาก รวมถึงการออกกำลังกาย การกิน การดูแลตนเอง เพื่อให้คนไข้ลดการใช้ยา ให้ดูแลสุขภาพตนเองได้,4,ramathibodi-hospital,"Patients quite a lot to get the service quite news of the delayed may be from a remote system, teaching, teachers, doctors advise a very good, including exercise, eating, self-care, so that patients reduce the use of drugs to self care."
คอยตั้งแต่9โมงเช้าถึงเที่ยงไม่ได้ระบการรักษา,1,ramathibodi-hospital,"Day from 9 a.m. to noon, not the treatment"
คุณหมอเก่ง ให้คำแนะนำที่ละเอียดชัดเจนดี การผ่าตัดทันสมัย สะอาด แผลผ่าตัดหายเร็ว ไม่เจ็บปวดหลังผ่าตัด ยาที่ให้พอดี ขั้นตอนการการตรวจและจ่ายเงินยุ่งยากกว่า รพ. เอกชนนิดหน่อยหากต้องทำหลายรายการ เป็นผู้ป่วยในก็มีขั้นตอนเยอะนิดนึงแต่หมอแต่ละท่านละเอียดและใส่ใจในตัวคนไข้มากถึงมากที่สุด,5,ramathibodi-hospital,"Doctor good detailed instructions, clear good surgery modern, clean surgical wound healed quickly, no postoperative pain medication to fit the procedure to check and pay more complicated. Private a little if need to do multiple items as in-patient, it has a step along a little bit, but the doctor each detail and attention to the patients most"
พยาบาลบริการดีคุณหมอสุภาพโรงพยาบาลรักษาความสะอาดดีมากค่ะคุณหมอดูเเลดีเป็นห่วงคนไข้ทุกคนจ่ายยาดีมากค่ะไม่ต้องรอคิวยาวโรงพยาบาลกว้างมีที่ให้นั่งรอผู้ป่วยครอบครัวเรามาหาหมอเยอะมากๆค่ะ เครื่องมือคุณหมอทันสมัยห้องพักผู้ป่วยกว้างมากๆค่ะเเอร์เย็นจนหนาวยิ่งห้องพิเศษเเบ่งเป็นสองห้องหรูเหมือนคอนโดดเลยค่ะวิวตอนกลางคืนสวยมากชอบศิริราชมากเลยค่ะมีตลาดให้เดินรอคนไข้เครื่องมือคุณหมอทันสมัยห้องพักผู้ป่วยกว้างมากๆค่ะเเอร์เย็นจนหนาวยิ่งห้องพิเศษเเบ่งเป็นสองห้องหรูเหมือนคอนโดดเลยค่ะวิวตอนกลางคืนสวยมากชอบศิริราชมากเลยค่ะมีตลาดให้เดินรอคนไข้ด้วย,5,siriraj-hospital,"Nurse service great doctor, polite, hospital cleanliness, staff, doctor, accessibility is concerned, every patient dispense very good, I don't wait in long queues hospital wide to sit and wait for the patient's family, we come to the doctor a lot. tools, doctor, modern patient rooms wide. cold until the winter even a special room divided into two rooms luxury like a condo. the night view is pretty much like siriraj. there is a market to walk, wait, patient, tool, doctor, modern patient rooms wide. cold until the winter even a special room divided into two rooms luxury like a condo. the night view is pretty much like siriraj. there is a market to walk around the patient with"
ใช้บริการปรึกษาเรื่องแผลคีลอยด์ที่บริเวรต้นแขน อยากปรึกษาว่าจะผ่าตัดออกหรือฉีดยาดีใช้เวลารอพอประมานเพราะเป็น รพ.รัฐ คุณหมอให้คำปรึกษาดีมาก ทำให้เราสบายใจและตัดสินใจว่าจะทำอย่างไรกับแผล ซึ่งฉีดจะใช้ระยะเวลาในการฉีดหลายครั้งเพื่อลดขนาด แต่ผ่าตัดแผลออกทำครั้งเดียวแต่ก็อาจเกิดแผลคีลอยด์ขึ้นมาซ้ำอีกได้ ยังไงถ้าใครสนใจเรื่องแผลคีลิยด์ รพ.ศิริราชก็เป็นอีกตัวเลือกที่ดีทีเดียวค่ะ,5,siriraj-hospital,"Seek advice about the wound, keloid. carpool humerus'd like to discuss that will be removed surgically or by injection, take wait enough demand because is. State doctor consultation very good to reassure us and decide what to do with the wound, which injection use duration in the injection several times to reduce the size, but the surgical wound out once done, but it may cause ulcers, keloid up again. if anyone is interested in wound, keno & Lloyd. Siriraj hospital is another good option."
เป็นโรงพยาบาลที่ดีมากๆคะเคยรักษาเนื้องอกที่มดลูกพยาบาลเอาใจใส่คนไข้มากๆๆถึงมากที่สุดนอนห้องรวมเหมือนห้องพิเศษเลยคะอยู่ใกล้ชิดพยาบาลตลอดเวลาพยาบาลถามอาการทุกๆ1ชม.ห้องน้ำ เตียงนอน อาหารการกินเค้าดูแลเราเหมือนญาติจริงๆนะคะอาบน้ำเช็ดตัวขอปรบมือให้พยาบาลทุกๆคนจริงๆคะไม่ผิดหวังเลยคะที่เข้ารักษาตัวที่รพ.นี้นะคะประทับใจมากๆคะอยากรักษาที่ศิริราชต่อไปคะขอบคุณคะ,5,siriraj-hospital,"Is hospital the best. ever treat the tumor, uterus, nurse empathy patient location to the most bed room included, like a special room. live close to the nurse all the time nurse asking the symptoms every 1 hour. Toilet, bed, food, they take care of us like a relatives, really. the bath towels applaud every nurse, people, really? disappointed.? admitted at the hospital. This. really impressed, I wanted to maintain at siriraj next, thank you."
