comment,score,hospital
สถาบันสร้างแพทย์ที่สำคัญของประเทศหนึ่งในสามสถาบัน รามาธิบดี จุฬาฯ และศิริราช.,5,ramathibodi-hospital
ชอบความสะอาด,3,ramathibodi-hospital
เป็นรพ.ของรัฐที่มาตรฐานการรักษาและการบริการที่ดี ถึงแม้คนไข้ที่มาใช้บริการจะมาก แต่ก็ไม่รู้ว่ารอคิวนานเหมือนกับรพ.รัฐรพ.อื่นๆ ซึ่งรอนานมากกว่าจะตรวจ ทั้งแพทย์ พยาบาล และบุคลากรในรพ.ให้การช่วยเหลือเป็น,5,ramathibodi-hospital
อยากทราบเบอร์โทรติดต่อของโรงพยาบาลค่ะมีใครพอจะรู้บ้างค่ะ,4,ramathibodi-hospital
เป็นโรงพยาบาลที่ห่วยแตก ระบบการทำงานแย่,1,ramathibodi-hospital
ผมเป็นญาติคนไข้มาจากต่างจังหวัดในกรณีผ่าตัดต้องอยู่หลายวันก็ต้องประสบปัญหาทีหลับที่นอน รพ.ใหญ่โตแต่ไม่มีที่ให้ญาติได้นอน มีที่เดียวคือหลังตึกฉุกเฉิน มีเก้าอี้ยาว20ตัวตรงกลางเป็นทางเดินทั้งคนเดินทั้งเตียงเข็นคนไข้ผ่านไปผ่านมาทั้งคืนคนมาใหม่ไม่มีอุปกรณ์อะไรก็ต้องนอนกับพื้นทางเดินดูแล้วทุเรศลูกตามาก ผมลองสอบถามเจ้าหน้าที่ดูว่าน่าจะมีที่นอนให้กับญาติที่ดีกว่านี้อีกซักหน่อยเนอะ..เขาบอกว่าเคยเสนอเรื่องขึ้นไปเเล้วแต่ก็เงียบหายไป. ทำไมครับแค่คุณทำห้องๆหนึ่งให้ญาติผู้ป่วยพักในเวลากลางคืนจะทำให้ รพ.คุณเสียค่าใช้จ่ายซกเท่าไหร่เชียวครับ...ทั้งๆที่คุณเองได้จากญาติคนไข้บ้างรายเป็นแสนๆเป็นล้านก็มี *ถ้าเห็นข้อความนี้โปรดนำไปพิจรณา* เรื่องนี้ญาติคนไข้เดือดร้อนมาก,2,ramathibodi-hospital
วันนี้ไปที่เวชศาสตร์ครอบครัว ครับ เป็นคนไข้ใหม่ ไม่ทันคิวตรวจ ห้องสัมภาษณ์ จนท.ไม่สนใจถามอาการป่วย เลย บอกให้มาใหม่ๆๆๆๆ ไม่ง้อว่าจะมาตรวจ หรือไม่มา. ครับ,5,ramathibodi-hospital
รักษาลูกชายมาตั้งแต่1ขวบจนจะ9ขวบแล้ว คุณหมอพยาบาลน่ารักทุกคน แต่ก็มีบ้างคุณหมอที่วุฒิภาวะยังต่ำอยู่มาก การพูดจา การปฏิบัติต่อผู้ป่วยและญาติผู้ป่วยค่อนข้างจะไม่นุ่มนวลอยู่บ้าง อาจจะเพราะยังเด็กควบคุมอารมณ์ได้ไม่ดี และยังไม่เคยมีลูก จึงไม่ค่อยเข้าใจคนมีลูกป่วย เมื่อวันหนึ่งคุณหมอมีลูกเป็นของตัวเองซึ่งเกิดจากตัวเอง วันนั้นคุณหมอจะเข้าใจข้าพเจ้าในวันนี้ แต่ภาพรวมๆแล้ว เป็น รพ.ที่ดีที่สุดสำหรับข้าพเจ้า เจตนาของคุณหมอและพยาบาลมีความตั้งใจดูแลรักษาคนป่วยสุดกำลัง ซึ่งข้าพเจ้าก็มองเห็นความตั้งใจนั้นเสมอมาตลอดระยะเวลาที่รักษามา 8ปีกว่าค่ะ ยังคงมั่นใจที่จะรักษาที่นี่ต่อ และขอชื่นชม ขอบคุณบุคลากรทุกท่านของ รพ.แห่งนี้ค่ะ รัก รพ.รามาธิบดีมากค่ะ,5,ramathibodi-hospital
ดิฉันต้องการติดต่อฝ่ายเบิกจ่ายตรง ซึ่งเบอร์ที่ได้มาเป็นการคลัง เมื่อโทรไปผู้หญิงรับแล้วก่อนที่จะต่อสายให้ พูดแทรกในโทรศัพท์ #น่าเบื่อว่ะ. พูดมาได้ยังไง คุณพูดกับใคร หรือบ่นเองดิฉันไม่รู้ แต่เป็นสิ่งที่ไม่ควรทำในอาชีพบริการนะคะ โทรมาหาดิฉันได้ค่ะ080-611-0369 ไม่ประทับตั้งแต่ครั้งแรก,1,ramathibodi-hospital
คุณแม่ผมหาหมอทานยาเป็นปี แค่ประคองอาการ เพียงแค่เปิดใจกับ อาหารเสริม นี่คือผลที่ได้รับ,5,ramathibodi-hospital
คุณหมอและพยาบาลดูแลคนไข้ได้ดีมากๆ โดยเฉพาะแผนกสูตินรีเวช รู้สึกประทับใจเป็นอย่างมาก,5,ramathibodi-hospital
ชอบค่ะ ตึกใหม่เหมือนแผนกเด็ก รพ.เอกชนเลยค่ะ ค่ารักษาสูงกว่าปกติ พอรับมือไหว ดีตรงที่มาวันอาทิตย์ได้และได้พบ อาจารย์หมอด้วย รักษาลูกได้ตรงจุดไม่ต้องหาสามาเหตุนาน,5,ramathibodi-hospital
หมอให้คำแนะนำดี ราคาสูงกว่าปกติเพราะคลินิคพรีเมี่ยม แต่ได้พบอาจารย์หมอ ลูกเราจะได้รักษาตรงจุด ชอบรพ.นี้มากค่ะ,5,ramathibodi-hospital
"หน่วยรับเอกสารเจาะเลือดวันนี้ ประมาณ 6.45น. ผมเห็นคุณป้าคนหนึ่งยื่นเอกสารให้เธอ เธอกับชูเอกสารที่อยู่ในมือให้คุณป้าดูแล้วทำท่าเอียงคอ(ความหมายของเธอคือฉันยังทำเอกสารคนอื่นยังไม่เสร็จ)ซึ่งจริงๆแล้วใช้คำพูดว่า""สักครู่น๊ะค๊ะ""ผมว่าจะดูดีกว่ามากเลยครับ อ้อเธอใส่แว่นนั่งคนที่สองจากซ้ายครับ แต่ก็อดชื่นชมเจ้าหน้าที่ผู้ชายที่คอยจัดคิวอยู่ที่แผนกผู้ป่วยนอกเวชศาสตร์ครอบครัวและหน้าห้องเจาะเลือด น่ารักทั้งสองคนครับ สุภาพ พูดจาไพเราะครับ ขอบคุณรามา ที่มอบสิ่งดีๆให้กับชาวบ้านครับ",4,ramathibodi-hospital
ขอแมสปิดปากเะราะเฝ้าคนไข้วัณโรค พยาบาลถามว่าให้ใคร บอกญาติ พยาบาลบอกว่าเซเว่นมีขาย ... นี่หรือ รพ.รัฐ ที่ขอเงินบริจาคเพื่อคนจน.. นิสัยแบบนี้ไม่น่าจะเป็นพยาบาลเลยนะ..,1,ramathibodi-hospital
ทั่งหมอทั่งพยาบาลบริการดีมากๆเหมือนไปโรงพยาบาลเอกชนเลยพยาบาลทุกคนเป็นกันเองยิ้มแย้มหากไม่เอ่ยชื่อโรงพยาบาลคงคิดว่าเป็นเอกชนแน่นอน ขอบคุณ ขอบคุณจริงๆ,5,ramathibodi-hospital
แพทย์และพยาบาลที่นี่น่ารักทุกคนเลยค่ะ อาคาร 1 สูตินารีเวช ห้องคลอดชั้น 4 และห้องพักฟื้นชั้น 6 ขอบคุณมากๆค่ะ,4,ramathibodi-hospital
ที่ให้ดาวเพราะชอบการรัษาของที่นี่มาก แต่พยาบาลที่นี่พูดกับคนไข้ไม่ดีเลย ใช้คำพูดสุภาพนะ แต่น้ำเสียงนี่แย่สุดๆ เข้าใจว่าคนไข้เยอะแต่ทำงานพยาบาลอ่ะ ก็ต้องมีจรรยาบรรณบ้างสิ นี่ทำอย่างกับจะกินคนไข้ (ตึกพระเทพพยาบาลที่อยู่ตรงเข้าแถวที่เจาะเลือดชั้น1 กับที่วัดความดันชั้น2อ่ะอารมณ์เสียสุดๆเลย) พยาบาลที่ดีๆก็มีเยอะนะ แต่คนที่ไม่ดีที่เป็นส่วนน้อยทำให้ที่รพ.ดูแย่ลงเลยในสายตาเรา,4,ramathibodi-hospital
"หมอ,พยาบาลดีมากครับ,แต่การเงินเหมาสมแล้วที่ทำหน้าที่นี้ ชีวิตนี้จริงของคุณๆน่าจะมีความสุขความเจริญกันขอให้พวกคุณที่ทำการเงินเจริญๆยิ่งๆขึ้นๆไป",4,ramathibodi-hospital
พยาบาลแผนก หู คอ จมูก คนที่น่ากลมๆซีดๆตาโตหน่อย อยู่ห้องนัดผ่ากะข้างหน้าประตู พูดจาแย่มากๆ บริการก็แย่ เรานั่งรอคิวสังเกตดู พูดจากับคนไข้ที่รอแย่มากๆ คือเรา ไม่รุ้ว่าต้องไปจ่ายเงินตั้งไหน เราก่เอาใบไปวางไว้ใส่ตะกร้าตรงพยาบาล(คนนั้น )เรารอนาน เราเลยถาม ขอโทษนะค่ะ พอดีเอาใบจ่ายเงินไว้ค่ะ ไม่ทราบว่าจ่ายตรงไหนค่ะ พยาบาล ตอบกลับมาว่า เอามาวางไว้ทำไมตรงนี้ ตรงนี้ไม่ใช่ที่วาง ที่จ่ายตังอยู่ข้างนอก เราก็งงสิ ถามดีๆ ตอบกวน....มาก บริการแย่ พูดจาก่ห่วยแตก ทุกอย่างดีหมด ยกเลิก นางคนนี้,3,ramathibodi-hospital
แต่มีติดใจนิดหนึ่งแม่ค้าโรงอาหารทำไมดุจัง เราจะซื้อข้าวแดกนะไม่ได้ขอ ดุจังๆๆๆๆๆ,4,ramathibodi-hospital
ตรวจสุขภาพไปต่างประเทศเอธิโอเปียไม่ค่ะแล้วกีวันรู้ผลราคาเท่าไร,3,ramathibodi-hospital
วันนี้มาหาหมอ พบหมอ2คนค่ะ แต่โซนbวันนี้พยาบาลที่นั่งเคาน์เตอร์ข้างหน้าคือเราเอาแฟ้มไปวาง แค่ถามใบสั่งยาเพราะหาไม่เจอพอเข้าไปถาม พยาบาลก็หยิบให้ เพราะหมอแนบมาด้านหลัง ยื่นใบสังยาให้เรา แล้วเหวี่ยงแฟ้มใส่ตระกร้า คืออะไร ไม่มีมารยาทเลย บริการแย่มากขอบอกเลย คือคิดถ้าเปนลุงป้าแก่ๆ ถ้าอีนี่เหวี่ยงแฟ้มคนไข้ใส่ตระกร้าแบบนี้ คือมึงไม่น่ามาเปนพยาบาลเลยจริงๆ (คนที่นั่งหน้าเคาเตอร์ตัวอ้วนๆผิวคลำ ปากจัดหน่อย),2,ramathibodi-hospital
เหลืออีกสองวันจะออกจาก รพ รามาแล้ว ประทับใจมากๆตั้งแต่วันแรกที่แอดมิดเข้ามา ตั้งแต่14ธค58 ผมอยุ่แผนกตา สามัญชายคือพยาบาลทุกคนพูดดีมากๆ เป็นกันเอง ไม่ทำให้คนไข้เครียด คุณหมอก็ขึ้นตรวจทุกเช้า ซักประวัติจนละเอียด แล้วรักษาได้ดีมากๆ ขอบคุณคุณหมอและพี่ๆพยาบาลทุกคนที่ทำให้ผมกลับมามองเห็นได้อีกครั้งนึง ขอบคุณสำหรับทุกสิ่งทุกอย่างคับ 16วัน รพ.รามา เป็นอะไรที่ยากจะลืมจิงๆ #ประทับใจมาก,5,ramathibodi-hospital
ดีครับ ดีมากๆ ดีสุดดดดดดด,5,ramathibodi-hospital
เป่นร.พรักษาตัวอยู่ปัจจุบันนี้ให้บริการดีเหมื่อนกันนะ,5,ramathibodi-hospital
เป็นโรงพยาบาลที่ทันสมัย มากขอบคุณอาจารย์หมอ ธาริน ธรรมหงสา ที่ผ่าตัดนิ่วใหถุงน้ำดีสำเร็จลุล่วงไปด้วยดี ขอบคุณพยาบาลและเจ้าหน้าที่ในตึกอุบัติเหตุให้การดูแลเอาใจใส่คนไข้เป็นอย่างดี,5,ramathibodi-hospital
ผมได้พักรักษาตัวโรคตาประมาณเดือนเศษเมื่อหลายปีมาแล้วได้รับการผ่าตัดดวงตา5 ครั้งได้รับการเอาใจใส่จากคณะแพทย์และคณะพยาบาลเป็นอย่างดี ขอขอบคุณจากใจครับ,5,ramathibodi-hospital
ปรับปรุงเรื่องการพูดจาด้วยนะ. แย่มากก พยาบาลหญิง. พูดจาหมาไม่แดก.,1,ramathibodi-hospital
บริการดีมาก มาจากต่างจังหวัดรู้สึกหายเหนื่อย,5,ramathibodi-hospital
หน่วยงานอื่นก็ดีนะครับเพราะต้องติดต่อหลายส่วนแต่ที่ต้องจอแนะนะคือหน่วยงานที่ตรวจเต้านม รับการรักษาคลีนิกนอกเวลามาวางบัตรสิบโมงเจ้าหน้าที่บอกมาได้15.00น. รีบมาตั้งแต่บ่ายสองมาถึงเจ้าหน้าที่บอกรอเรียกบ่ายสามเลยไปหาไรกินก่อนบ่ายสาม15นาทีก็มานั่งคอยเรียกตามที่เจ้าหน้าที่บอกเห็นว่ายังไม่ถึงเวลาเลยนั่งคอยจนสามครึ่ง็ยังไม่เรียกทนไม่ไหวเดินไปถามเจ้าหน้าที่บอกเรียกแล้วเอกสารอยู่ตรงหน้าบ่ายสามทำไมไม่เรียกซ้ำคนที่ยึดถือเวลาก็มีนะครับ,3,ramathibodi-hospital
ฉันชอบโรงพยาบาลแต่ไม่ชอบการให้บริการในการเรียกตรวจเพราะไม่เป็นไปตามคิวที่ระบุในใบนัด,5,ramathibodi-hospital
รักษาที่นี่มานับ 30 กว่าปี คนเยอะมาก ทบุคลากรทุกส่วนเหนื่อยน่าดู,4,ramathibodi-hospital
จำต้องทนเพื่อผลของการรักษาไม่รุ้อีกนานเท่ารั่ยที่ต้องยุ่กับ ร.พ. รามาธิบดี,3,ramathibodi-hospital
รักษาเรืองสมองใหม่คับ. หลานผมเลือดครั่งนิดหน่อย/,5,ramathibodi-hospital
บริการดี รวดเร็ว ไม่เสียเวลารอนาน,5,ramathibodi-hospital
นัดบ่ายโมงบ่าย2ยังไม่ได้เข้าเลย แผนกทันตกรรมตึกเก่า,1,ramathibodi-hospital
วันนี้มารามาเห็นการรักษาความปลอดภัยสุดยอดมาก,5,ramathibodi-hospital
ฝากชีวิตไว้ที่นี่ค่ะ,5,ramathibodi-hospital
ฉันรักที่นี่ กราบขอบพระคุณคณะแพทย์และพยาบาลทุกท่านที่ได้ช่วยเหลือและดูแลชีวิตคนในครอบครัวดิฉันเป็นอย่างดี แต่มาเสียความรุ้สึกกับแพทย์หญิงปารวี พูดกับคนไข้และพยาบาลแย่มากๆ เสียดายที่มีไอคิวสูง แต่อีคิวต่ำมากๆ,4,ramathibodi-hospital
มาตรวจที่แผนกเวชศาสตร์ครอบครัววันที่ 25 ธันวาคม 2558 ให้บริการและแนะนำผู้ป่วยดีมาก มีตรวจตอนเที่ยงด้วย,5,ramathibodi-hospital
โรงพยาบาลรัฐบาลที่ดีที่สุดในประเทศไทย ยืนยันโดย Ward จิตเวช ครับ,5,ramathibodi-hospital
ฝากหน่อยคะสำหรับใครที่ต้องการอุปกรณ์ทางการแพทย์ทางเรามีขายราคาถูกมีบริการส่งถึงบ้าน ของแท้มีประกันไม่ดีมีเปลี่ยนให้จากบริษัท ทักได้คะหรือ ID: pinpmm27,5,ramathibodi-hospital
ดีครับรพ.ต่างจังหวัดแย่มากๆลูกสาวป่วยแต่อายุ9ขวบตอนนี้22แล้วไปกลับทุกๆ3เดือน,5,ramathibodi-hospital
พยาบาลและหมอทุกคนเอาใจใส่ดีมาก สถานที่สะอาด สะดวก เรียบร้อย,5,ramathibodi-hospital
คิวช้า หมอนัด 15.30 แต่ได้ตรวจ 16.30 ทั้งๆที่ไปรอตั้งแต่ 14.00,3,ramathibodi-hospital
ปกติแล้วเป็นคนที่กลัวการผ่าตัดมากๆ คิดไปต่างๆนานา แต่เมื่อถึงเวลาที่เราต้องเข้าห้องผ่าเจ้าหน้าที่มารับมาพูดคุยพาไปห้องผ่าตัด พูดคุยถึงการรักษาถามคนไข้กลัวไหม ไม่ต้องกลัวนะคะ พูดให้กำลังใจ จับมืออยู่ข้างกาย รอบให้รับรู้ตลอดเวลาจองการผ่าตัด ถึงขั้นตอนไหนๆ แล้ว ประทับใจการบริการโรงพยาบาลของรัฐค่ะ,5,ramathibodi-hospital
ฝากครรภ์ที่ รพ.รามาฯ   แพทย์และพยาบาล พูดเพราะ และใจดีมากค่ะ,5,ramathibodi-hospital
พาย่าไปรักษาที่ ER รพ.รามาธบดีค่ะ แพทย์จะฉีดสี แต่คนไข้ 80 แล้ว เราเลยไม่อยากให้ทำ แต่คนไข้ยังคงต้องรับการรักษาโดยให้ยาฆ่าเชื้ออยู่ นักศึกษาแพทย์พูดว่าในเมื่อคนไข้ไม่รักษาเราก็ไม่จำเป็นต้องรักษา,1,ramathibodi-hospital
บริการดี,4,ramathibodi-hospital
มีการจัดการระบบในการรักษาคนไข้ดี  รอไม่ค่อยนานเหมือนสมัยก่อนแล้ว หมอก็เก่งคะ,5,ramathibodi-hospital
เมื่อหลายปีก่อนเคยพา อาม่า ไปทำการรักษาดวงตา ที่แผนกตา ของโรงพยาบาลรามาธิบดี การบริการของแพทย์และพยาบาล ก็ถือว่าปานกลาง ไม่ได้ดีหรือไม่ดีอย่างไร แต่บริการของพนักงานการเงินที่แผนกตา มารยาททรามมากถึงมากที่สุด เหตุคือ.....ช่วงนั้นใกล้เที่ยง และเจ้าหน้าที่จะทำการปิดช่อง ซึ่งเราก็ไม่ได้ว่าอะไร รอช่วงบ่ายได้ ไม่รีบร้อน แต่เราได้ถามเจ้าหน้าที่คนนั้นก่อนแล้ว ว่ารอคิวได้มั้ย หรือต้องรอช่วงบ่าย จะได้พาอาม่าไปทานข้าวก่อน เจ้าหน้าที่ก็แจ้งว่า กดคิวเลย เราก็กด แล้วก็ยื่นเอกสารใบยา แล้วเค้าก็ให้มานั่งรอ เราก็รอตั้งนาน จนเจ้าหน้าที่เค้าปิดช่อง เราเลยลุกไปถามว่า อ้าว เมื่อไรจะเรียกคิวคะ เพราะไม่มีคิวอะไรเลย มีเรานั่งรอกับอาม่าอยู่ 2 คน เค้าก็ทำหน้าไม่รู้เรื่อง บอกว่า ไม่มีคิวนะ คุณยังไม่ได้กดคิว เราก็ยื่นบัตรกดคิวให้ดู แล้วบอกว่า ยื่นเอกสารใบยาให้คุณแล้วด้วย ชื่อคนไข้....................เค้าก็หาๆ แบบคุ้ยๆ เขี่ยๆ เลยอะ หาอยู่ยังงั้น จนไปจบที่ ถังขยะค่ะ เน้นย้ำว่า ถังขยะ แบบยับๆ ด้วยนะ เรานี่ หัวร้อนเลยค่ะ การบริการแย่มาก นับแต่นั้น ไม่เคยคิดเหยียบโรงพยาบาลนี้อีกเลย ต่อให้ชื่อเสียงของหมอดียังไงก็เถอะ การบริการของเจ้าหน้าที่แย่มาก มารยาททรามได้อีก,1,ramathibodi-hospital
ไม่รอนาน คุณหมอ พยาบาลใส่ใจ ผู้ป่วย,5,ramathibodi-hospital
หมอทุกท่านรักษาดีมาก มีความเป็นกันเอง เวลาไปรักษาทีไรไม่เครียดเลย,5,ramathibodi-hospital
วันนั้นป้าของฉันโรคไม่สบายหนักมาก เรียกรถพยาบาลมารับที่บ้าน พอมาถึงคุณหทอพยาบาลก็ช่วยกันดูแลเป็นอย่างดี หมอบอกอาการหนักมากร่างกาย 50 50 เพราะป้าของฉันมีโรคประจำตัวเยอะ ต้องใส่เครื่องช่วยหายใจ จนหมอต้องพูดว่าคนไข้อาจไม่รอด แต่ก็ทำให้รู้ว่า ถึงเปอร์เซ็นการรอดคนไข้จะน้อย แต่คุณหมอและพยาบาลก็ดูแลป้าของฉันเป็นอย่างดี อาการป้าของฉันดีขึ้นเรื่อยๆ จนตอนนี้กลับบ้านได้แล้ว,5,ramathibodi-hospital
บริการช้า คนเยอะ หมอน้อย,4,ramathibodi-hospital
เข้าไปใช้บริการคลินิกพรีเมียม ศูนย์การแพทย์สมเด็จพระเทพรัตน์ฯ บริการดี เจ้าหน้าที่ยิ้มแย้ม ทุกอย่างสะดวกรวดเร็ว คิวน้อย จะมีนานก็ตอนรอพบแพทย์ รอสองชั่วโมงเพื่อพบแพทย์สามนาที การจ่ายเงินสะดวกรวดเร็ว ผลตรวจออกรวดเร็วดี ที่จอดรถน้อย สถานที่สวยงามมีทั้งธนาคาร 7-11 ศูนย์อาหารที่ราคาไม่แพงเลยแทบไม่เคยมีโต๊ะว่างไม่ว่าเวลาไหน มีร้านภูฟ้า สตาร์บัค ฯลฯ ช่วยให้การรอไม่น่าเบื่อเกินไป คุณหมอตรวจด้วยความใส่ใจอธิบายชัดเจน ค่าบริการแพงไปนิดแต่โดยรวมๆถือว่าพอรับได้,4,ramathibodi-hospital
เป็นสถานพยาบาลของรัฐที่ยกระดับการให้บริการที่ทันสมัย และดี appicationในการตรวจสอบนัดกับทางโรงพยาบาลเป็นอะไรที่ดีมาก,5,ramathibodi-hospital
สะอาด แพทย์และพยาบาลทุกคน เป็นกันเอง บริการดีเยี่ยม เครื่องมือทันสมัย,5,ramathibodi-hospital
พยาบาลดูเเลเอาใจใส่คนไข้ ทั้งที่เป็นโรงพยาบาลรัฐบาล,5,ramathibodi-hospital
ด้วยขื่อเสียงที่มีมายาวนาน และมีคนใกล้ชิดเข้ารับการรักษา และดิฉันก็เป็นหนึ่งในผู้บริจาคให้มูลนิธิรามาธิบดีมาอย่างยาวนาน แต่พอคุณพ่อเข้ารับการรักษาในห้องอุบัติเหตุและฉุกเฉิน ไม่ได้รับการดูแลอย่างที่ควร ผนวกกับไม่มีห้อง เจ้าหน้าที่ โดยเฉพาะพยาบาลและเจ้ากน้าที่พูดจาไม่ดีเลย สุดท้ายต้องย้ายโรงพยาบาลค่ะ,2,ramathibodi-hospital
โรงพยาบาลรามาธิบดี.เป็นโรงพยาบาบที่ดีมีบุคลากรคุณภาพมากมาย. เครื่องมือก็ครบครันและทันสมัย สร้างความอุ่นใจเเละมั่นใจให้แก่ผู้ใช้บริการเป็นอย่างมาก,5,ramathibodi-hospital
เจ้าหน้าที่ดูแลผู้ป่วยดี คนแก่หาที่นั่งให้พัก พยาบาลส่วนใหญ่พูดจาไพเราะน่าฟัง คุณหมอให้ความเป็นกันเองกับคนไข้ ไม่ถือตัวน่ารักค่ะ,5,ramathibodi-hospital
ดูแลคุณพ่อดีมาก คุณพ่อเป็นมะเร็ง admit มา 2 เดือน ตอนนี้คุณพ่อพร้อมจะกลับบ้านได้แล้ว จากต้องอยู่ห้อง icu พยาบาลดูแลเอาใจใส่ดี ลืมไปเลยว่าเป็นโรงพยาบาลรัฐบาล บริการเช่นเอกชน,5,ramathibodi-hospital
"เป็น รพ.รัฐ ที่ได้พบแพทย์ ระดับอาจารย์ทุกครั้ง, ระบบการนัดหมอทำได้สะดวก ทางโทรศัพท์ หรือการปรึกษาปัญหาสุขภาพทางสายด่วนให้คำแนะนำอย่างดี, โทรมาปรึกษาแผนกที่รักษาพยาบาลให้คุยกับอาจารย์หมอได้เลย, ทุกครั้งที่มีการเจ็บป่วยมาที่แผนกฉุกเฉิน มีการรับคนไข้อย่างรวดเร็ว ห้องฉุกเฉินสะอาด หมอมีหลายคน วินิจฉัยโรคโดยทีมของหมอ",5,ramathibodi-hospital
ประทับใจค่ะ เป็นรพรัฐ ที่มีการบริการเอาใจใส่ดีมากกว่าที่อื่นๆ พยาบาลใจดีมากๆค่ะ ถึงแม้จะมีนักศึกษาแพทย์ที่มาฝึกเยอะ แอบมีคุยเล่นกันเป็นกลุ่มบ้าง แต่ในเวลาตรวจก็ซักประวัติค่อนข้างระเอียดดีค่ะ สถานพยาบาลสะอาดทันสมัย มีร้านอาหารต่างๆภายในรพ อยู่ใจกลางเมืองด้วย ครบครันดีค่ะ,5,ramathibodi-hospital
เจ้าหน้าที่ให้บริการด้วยยิ้มแย้มและเป็นกันเอง ให้ข้อมูลที่ละเอียดและเข้าใจง่าย,5,ramathibodi-hospital
หมอพยาบาลดูแลดีมากๆๆๆสะอาดคน,5,ramathibodi-hospital
การบริการดี รพ สะอาดหมอสอบถามตลอดคอยดุแลตลอดคอยถามอาการหมอพยาบาลเป้นมิตรกับคนไข้มากครับ,5,ramathibodi-hospital
บริการดีมาก,5,ramathibodi-hospital
คนไข้ค่อนข้างเยอะทำให้การได้รับการบริการค่อนข่างล่าช้าไปบ้าง อาจเป็นจากเป๋นระบบการเรียนการสอน อาจารย์ แพทย์ให้คำแนะนำดีมาก รวมถึงการออกกำลังกาย การกิน การดูแลตนเอง เพื่อให้คนไข้ลดการใช้ยา ให้ดูแลสุขภาพตนเองได้,4,ramathibodi-hospital
คอยตั้งแต่9โมงเช้าถึงเที่ยงไม่ได้ระบการรักษา,1,ramathibodi-hospital
คุณหมอเก่ง ให้คำแนะนำที่ละเอียดชัดเจนดี การผ่าตัดทันสมัย สะอาด แผลผ่าตัดหายเร็ว ไม่เจ็บปวดหลังผ่าตัด ยาที่ให้พอดี ขั้นตอนการการตรวจและจ่ายเงินยุ่งยากกว่า รพ. เอกชนนิดหน่อยหากต้องทำหลายรายการ เป็นผู้ป่วยในก็มีขั้นตอนเยอะนิดนึงแต่หมอแต่ละท่านละเอียดและใส่ใจในตัวคนไข้มากถึงมากที่สุด,5,ramathibodi-hospital
พยาบาลบริการดีคุณหมอสุภาพโรงพยาบาลรักษาความสะอาดดีมากค่ะคุณหมอดูเเลดีเป็นห่วงคนไข้ทุกคนจ่ายยาดีมากค่ะไม่ต้องรอคิวยาวโรงพยาบาลกว้างมีที่ให้นั่งรอผู้ป่วยครอบครัวเรามาหาหมอเยอะมากๆค่ะ เครื่องมือคุณหมอทันสมัยห้องพักผู้ป่วยกว้างมากๆค่ะเเอร์เย็นจนหนาวยิ่งห้องพิเศษเเบ่งเป็นสองห้องหรูเหมือนคอนโดดเลยค่ะวิวตอนกลางคืนสวยมากชอบศิริราชมากเลยค่ะมีตลาดให้เดินรอคนไข้เครื่องมือคุณหมอทันสมัยห้องพักผู้ป่วยกว้างมากๆค่ะเเอร์เย็นจนหนาวยิ่งห้องพิเศษเเบ่งเป็นสองห้องหรูเหมือนคอนโดดเลยค่ะวิวตอนกลางคืนสวยมากชอบศิริราชมากเลยค่ะมีตลาดให้เดินรอคนไข้ด้วย,5,siriraj-hospital
ใช้บริการปรึกษาเรื่องแผลคีลอยด์ที่บริเวรต้นแขน อยากปรึกษาว่าจะผ่าตัดออกหรือฉีดยาดีใช้เวลารอพอประมานเพราะเป็น รพ.รัฐ คุณหมอให้คำปรึกษาดีมาก ทำให้เราสบายใจและตัดสินใจว่าจะทำอย่างไรกับแผล ซึ่งฉีดจะใช้ระยะเวลาในการฉีดหลายครั้งเพื่อลดขนาด แต่ผ่าตัดแผลออกทำครั้งเดียวแต่ก็อาจเกิดแผลคีลอยด์ขึ้นมาซ้ำอีกได้ ยังไงถ้าใครสนใจเรื่องแผลคีลิยด์ รพ.ศิริราชก็เป็นอีกตัวเลือกที่ดีทีเดียวค่ะ,5,siriraj-hospital
เป็นโรงพยาบาลที่ดีมากๆคะเคยรักษาเนื้องอกที่มดลูกพยาบาลเอาใจใส่คนไข้มากๆๆถึงมากที่สุดนอนห้องรวมเหมือนห้องพิเศษเลยคะอยู่ใกล้ชิดพยาบาลตลอดเวลาพยาบาลถามอาการทุกๆ1ชม.ห้องน้ำ เตียงนอน อาหารการกินเค้าดูแลเราเหมือนญาติจริงๆนะคะอาบน้ำเช็ดตัวขอปรบมือให้พยาบาลทุกๆคนจริงๆคะไม่ผิดหวังเลยคะที่เข้ารักษาตัวที่รพ.นี้นะคะประทับใจมากๆคะอยากรักษาที่ศิริราชต่อไปคะขอบคุณคะ,5,siriraj-hospital
รพ.ศิริราช คุณหมอและพยาบาลน่ารักมากค่ะ ให้คำแนะนำเกี่ยวกับฌรคดีมาก พาลูกไปตรวจตามนัดคุณหมอให้คำอธิบายดีทุกครั้ง ขั้นตอนการตรวจไม่ยุ่งยากห้องรับยาแยกเป็นสัดส่วน เจ้าหน้าที่ห้องยาให้คำอธิบายยาดี ถึงแม้เวลาเดินทางไป รพ.จะไกลแต่ก็ไม่เหนื่อยค่ะกลับมาสบายใจทุกครั้งคุณหมออธิบายแนวทางการรักษาดีมากไม่ต้องกังวลเรื่องโรค,5,siriraj-hospital
